Food Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g),Fiber (g),Calcium (mg),Iron (mg),Vitamin C (mg),Diet Type
Scrambled Eggs,Breakfast,140,12,2,10,0,60,1,0,Non-Vegetarian
Greek Yogurt,Breakfast,100,10,6,0,0,100,0,0,Vegetarian
Oatmeal,Breakfast,150,5,27,3,4,20,2,0,Vegetarian
Whole Wheat Toast,Breakfast,80,4,15,1,3,30,1,0,Vegetarian
Avocado Toast,Breakfast,220,6,20,15,9,20,1,8,Vegetarian
Protein Shake,Breakfast,180,30,10,3,2,300,0,0,Vegetarian
Chicken Sausage,Breakfast,120,14,2,7,0,20,1,0,Non-Vegetarian
Smoothie Bowl,Breakfast,250,8,45,5,7,150,2,60,Vegetarian
Cottage Cheese,Breakfast,120,14,5,4,0,100,0,0,Vegetarian
Almond Butter Toast,Breakfast,200,7,18,12,4,80,2,0,Vegetarian
Grilled Chicken Salad,Lunch,350,40,15,12,6,100,3,45,Non-Vegetarian
Quinoa Bowl,Lunch,400,15,50,12,8,60,4,30,Vegetarian
Turkey Wrap,Lunch,380,30,35,15,5,200,2,10,Non-Vegetarian
Vegetable Stir Fry,Lunch,300,10,40,10,7,80,3,70,Vegetarian
Salmon with Rice,Lunch,450,35,40,18,3,50,2,5,Non-Vegetarian
Black Bean Burger,Lunch,350,18,40,10,12,80,4,15,Vegetarian
Tuna Salad,Lunch,320,30,10,18,3,50,2,5,Non-Vegetarian
Falafel Wrap,Lunch,400,15,50,15,10,100,4,20,Vegetarian
Lentil Soup,Lunch,250,18,30,5,12,60,4,10,Vegetarian
Steak with Veggies,Lunch,500,45,15,30,5,60,5,25,Non-Vegetarian
Grilled Salmon,Dinner,400,40,0,25,0,50,1,0,Non-Vegetarian
Vegetable Curry,Dinner,350,12,40,15,10,150,4,60,Vegetarian
Chicken Breast,Dinner,300,50,0,10,0,30,1,0,Non-Vegetarian
Tofu Stir Fry,Dinner,280,20,15,15,5,400,4,30,Vegetarian
Pasta Primavera,Dinner,400,15,60,12,8,100,3,40,Vegetarian
Chicken Tacos,Dinner,450,30,35,20,6,150,4,15,Non-Vegetarian
Stuffed Peppers,Dinner,320,18,30,12,7,100,3,120,Vegetarian
